open,high,low,close,volume,spread,real_volume
7238.879,7248.954,7186.492,7188.507,154293,1,522198
7188.507,7217.387,7176.417,7213.357,114687,1,422814
7212.686,7214.701,7173.731,7187.835,92957,1,346754
7187.835,7195.223,7169.029,7179.776,78842,1,283305
7180.447,7191.193,7137.463,7151.567,84398,1,326117
7150.895,7207.984,7150.895,7188.507,77731,1,267776
7188.507,7202.611,7183.805,7194.552,9615,1,37753
7215.372,7246.267,7186.492,7219.402,271288,1,750829
7219.402,7244.252,7194.552,7201.939,181126,1,565672
7201.939,7276.491,7199.253,7241.566,199106,1,651892
7241.566,7280.521,7211.342,7265.745,168661,1,589533
7265.745,7280.521,7250.297,7272.461,108115,1,375716
7273.133,7275.819,7224.775,7230.82,112865,1,410190
7230.82,7261.043,7218.73,7254.327,85778,1,291273
7255.67,7267.088,7237.536,7260.372,82678,1,288054
7259.7,7277.834,7244.924,7266.416,65373,1,227907
7266.416,7280.521,7261.043,7273.804,11235,1,45477
7293.953,7314.774,7269.775,7302.013,205215,1,568955
7302.013,7334.252,7254.999,7256.342,215977,1,615352
7256.342,7304.7,7241.566,7300.67,210952,1,659896
7299.998,7340.968,7270.446,7299.998,156263,1,553977
7299.998,7316.789,7246.939,7252.312,119454,1,417407
7252.984,7286.565,7249.626,7271.118,79110,1,295755
7271.118,7312.088,7267.76,7295.297,82859,1,296448
7295.968,7313.431,7290.595,7301.341,61314,1,228818
7302.013,7309.401,7287.909,7306.043,42106,1,187271
7306.715,7317.461,7299.998,7310.073,11052,1,47785
7277.858,7353.697,7276.516,7353.026,169645,1,486695
7353.026,7394.637,7340.945,7363.764,176673,1,641654
7363.764,7379.871,7334.234,7356.381,117431,1,424396
7357.053,7387.254,7326.18,7332.892,93758,1,405162
7333.563,7355.71,7316.113,7317.455,97353,1,380526
